,sample,OTU_16S_25709,OTU_16S_25947,OTU_16S_33238,v_vul_total_abundance
2,S15T1423,0,0,0,0
3,S05M1922,0,0,0,0
4,S08T4122,0,0,0,0
5,S14M1823,0,0,0,0
6,S06T2422,0,0,0,0
7,S05M2522,0,0,0,0
8,S15M2023,0,0,0,0
9,S13T1822,0,0,0,0
10,S08M1923,0,0,0,0
11,S13M1723,0,0,0,0
12,S04T4222,0,0,0,0
13,S02M2922,0,0,0,0
14,S04M1822,0,0,0,0
15,S14M1723,0,0,0,0
16,S01X0923,0,0,0,0
17,S12M1723,0,0,0,0
18,S01X4722,0,0,0,0
19,S01X1423,0,0,0,0
20,S02M1723,0,0,0,0
21,S06T1823,0,0,0,0
22,S15T1823,0,0,0,0
23,S03T3322,3.73E-05,1.86E-05,1.24E-05,6.84E-05
24,S08T1923,0,0,0,0
25,S15T3122,0,1.82E-05,0,1.82E-05
26,S07M1722,0,0,0,0
27,S01X4222,0,0,0,0
28,S12M2122,0,0,0,0
29,S05T1823,0,0,0,0
30,S03T2222,0,0,0,0
31,S05T1622,0,0,0,0
32,S05T4422,0,0,0,0
33,S06T1723,0,0,0,0
34,S10M2023,0,0,0,0
35,S02M4622,0,0,0,0
36,S04T1622,0,0,0,0
37,S05M4722,0,0,0,0
38,S09M4322,0,0,0,0
39,S02T1622,0,0,0,0
40,S11M1722,0,0,0,0
41,S06T4622,0,0,0,0
42,S04M3322,0,3.22E-05,0,3.22E-05
43,S04T2122,0,0,0,0
44,S09M2322,0,0,0,0
45,S05M1722,0,0,0,0
46,S02T1822,0,0,0,0
47,S10T1023,0,0,0,0
48,S06M4122,0,0,0,0
49,S10T3022,0,2.44E-05,0,2.44E-05
50,S07M4522,0,0,0,0
51,S07M3522,0,0,0,0
52,S03T2122,0,0,0,0
53,S11T4222,0,0,0,0
54,S03T4322,0,0,0,0
55,S01X1523,0,0,0,0
56,S12M1822,0,0,0,0
57,S04M1923,0,0,0,0
58,S06T0523,0,0,0,0
59,S12M3522,0,0,0,0
60,S14M2422,0,0,0,0
61,S03T1023,0,0,0,0
62,S14T2022,0,0,0,0
63,S12T1922,0,0,0,0
64,S08T1023,0,0,0,0
65,S02T1923,0,0,0,0
66,S04T4922,0,0,0,0
67,S12M0923,0,0,0,0
68,S09T3622,0,0,0,0
69,S07T0923,0,0,0,0
70,S03M1822,0,0,0,0
71,S11T0923,0,0,0,0
72,S12T1822,0,0,0,0
73,S12T5122,0,0,0,0
74,S12M1922,0,0,0,0
75,S13M1822,0,0,0,0
76,S05T2622,0,0,0,0
77,S13T2022,0,0,0,0
78,S12M3122,0,0,0,0
79,S05T1922,0,0,0,0
80,S08T2022,0,0,0,0
81,S06T2022,0,0,0,0
82,S02M3922,0,0,0,0
83,S01X3222,0,0,0,0
84,S06T1922,0,0,0,0
